Prix,Stock,Fabricant,Modèle,Série,Catégorie,Lien,Dispo occas,Lien petite annonce
447 ,En stock,Spector,Performer 5,Basses électriques 5 cordes,23/04/2004,https://fr.audiofanzine.com/basse-electrique-divers/spector/Performer-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/spector/Performer-5/petites-annonces/
1 479 ,En stock,Ibanez,SR1355B Premium,SR Premium,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr1355b-premium/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr1355b-premium/petites-annonces/
799 ,En stock,Ibanez,SRC6MS,SR Workshop,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/src6ms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/src6ms/petites-annonces/
148 ,En stock,Harley Benton,PJ-5 SBK Deluxe,Deluxe,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/harley-benton/pj-5-sbk-deluxe/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/harley-benton/pj-5-sbk-deluxe/petites-annonces/
2 222 ,Pas de stock,Dingwall,CB3 Combustion 5,Basses électriques 5 cordes,02/05/2022,https://fr.audiofanzine.com/basse-electrique-divers/dingwall/cb3-combustion-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/dingwall/cb3-combustion-5/petites-annonces/
1 090 ,En stock,Cort,Elrick NJS 5,Basses électriques 5 cordes,21/03/2022,https://fr.audiofanzine.com/basse-electrique-divers/cort/elrick-njs-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/elrick-njs-5/petites-annonces/
1 399 ,En stock,Ibanez,BTB805MS,BTB Workshop,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb805ms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb805ms/petites-annonces/
849 ,En stock,Ibanez,SR605E,SR Standard,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr605e/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr605e/petites-annonces/
529 ,En stock,Cort,Artisan B5 Element,Artisan,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/artisan-b5-element/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/artisan-b5-element/petites-annonces/
2 026 ,En stock,Fender,American Professional II Jazz Bass V,American Professional II,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/fender/american-professional-ii-jazz-bass-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/fender/american-professional-ii-jazz-bass-v/petites-annonces/
