Prix,Stock,Fabricant,Modèle,Série,Catégorie,Lien,Dispo occas,Lien petite annonce
1 814.10 ,En stock,Sandberg (Bass),Basic Ken Taylor 5,Basic Ken Taylor,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/sandberg-bass/Basic-Ken-Taylor-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/sandberg-bass/Basic-Ken-Taylor-5/petites-annonces/
1 249 ,En stock,Ibanez,BTB846V,BTB Workshop,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb846v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb846v/petites-annonces/
831 ,En stock,Fender,Player Jazz Bass V,Player Jazz Bass Series,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/fender/player-jazz-bass-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/fender/player-jazz-bass-v/petites-annonces/
1 007.40 ,En stock,Hagstrom,H8-II,Retroscape,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/hagstrom/h8-ii/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/hagstrom/h8-ii/petites-annonces/
589 ,En stock,Yamaha,TRBX505,TRBX,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/trbx505/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/trbx505/petites-annonces/
443 ,En stock,Squier,Contemporary Active Precision Bass PH V,Precision Bass,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/squier/contemporary-active-precision-bass-ph-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/squier/contemporary-active-precision-bass-ph-v/petites-annonces/
1 519 ,En stock,Ibanez,SR1346B Premium,SR Premium,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr1306-b-premium/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr1306-b-premium/petites-annonces/
2 299 ,En stock,Fender,American Ultra Jazz Bass V,American Ultra,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/fender/american-ultra-jazz-bass-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/fender/american-ultra-jazz-bass-v/petites-annonces/
633.30 ,En stock,Jackson,David Ellefson Signature Concert Bass CBXM V,David Ellefson,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/jackson/david-ellefson-concert-bass-cbxm-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/jackson/david-ellefson-concert-bass-cbxm-v/petites-annonces/
749 ,En stock,Yamaha,TRBX605FM,TRBX,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/trbx605fm/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/trbx605fm/petites-annonces/
399 ,En stock,Ibanez,SR305E,SR Standard,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305e-2016/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305e-2016/petites-annonces/
379 ,En stock,Ibanez,SR305EB,SR Standard,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305eb/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305eb/petites-annonces/
849 ,En stock,Ibanez,SR605,SR Standard,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr605/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr605/petites-annonces/
799 ,En stock,Ibanez,SR505,SR Standard,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr505/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr505/petites-annonces/
447 ,En stock,Spector,Performer 5, ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/spector/Performer-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/spector/Performer-5/petites-annonces/
1 479 ,En stock,Ibanez,SR1355B Premium,SR Premium,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr1355b-premium/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr1355b-premium/petites-annonces/
799 ,En stock,Ibanez,SRC6MS,SR Workshop,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/src6ms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/src6ms/petites-annonces/
148 ,En stock,Harley Benton,PJ-5 SBK Deluxe,Deluxe,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/harley-benton/pj-5-sbk-deluxe/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/harley-benton/pj-5-sbk-deluxe/petites-annonces/
1 090 ,En stock,Cort,Elrick NJS 5, ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/elrick-njs-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/elrick-njs-5/petites-annonces/
1 399 ,En stock,Ibanez,BTB805MS,BTB Workshop,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb805ms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb805ms/petites-annonces/
849 ,En stock,Ibanez,SR605E,SR Standard,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr605e/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr605e/petites-annonces/
529 ,En stock,Cort,Artisan B5 Element,Artisan,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/artisan-b5-element/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/artisan-b5-element/petites-annonces/
2 026 ,En stock,Fender,American Professional II Jazz Bass V,American Professional II,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/fender/american-professional-ii-jazz-bass-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/fender/american-professional-ii-jazz-bass-v/petites-annonces/
1 535 ,En stock,Ibanez,EHB1505MS,EHB,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1505ms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1505ms/petites-annonces/
1 499 ,En stock,Ibanez,EHB1505,EHB,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1505/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1505/petites-annonces/
715 ,En stock,Ibanez,SR505E,SR Standard,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr505e/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr505e/petites-annonces/
519 ,En stock,Jackson,CBXNTM V,X,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/jackson/cbxntm-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/jackson/cbxntm-v/petites-annonces/
1 119 ,En stock,Ibanez,SRMS805,SR Workshop,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/srms805/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/srms805/petites-annonces/
445 ,En stock,Ibanez,SR375E,SR Standard,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr375e/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr375e/petites-annonces/
3 499 ,En stock,Music Man,StingRay Special 5 HH,StingRay,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/music-man/stingray-5-hh-2018-current/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/music-man/stingray-5-hh-2018-current/petites-annonces/
2 799 ,En stock,Ibanez,ANB306 Adam Nitti Signature,Signature,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/anb306/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/anb306/petites-annonces/
979 ,En stock,Ibanez,BTB845,BTB Standard,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb845/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb845/petites-annonces/
2 299 ,En stock,Fender,American Professional Jazz Bass V,American Professional Jazz Bass Series,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/fender/american-professional-jazz-bass-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/fender/american-professional-jazz-bass-v/petites-annonces/
306.43 ,En stock,Ibanez,GSR205B,GIO Soundgear,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/gsr205b/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/gsr205b/petites-annonces/
480.43 ,En stock,Ibanez,SR305,SR Standard,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305/petites-annonces/
259 ,En stock,Cort,Action V,Action,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/action-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/action-v/petites-annonces/
299 ,En stock,Ibanez,GSR205,GIO Soundgear,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/gsr205/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/gsr205/petites-annonces/
2 666 ,En stock,Spector,Euro 5 LX, ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/spector/Euro-5-LX/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/spector/Euro-5-LX/petites-annonces/
879 ,En stock,Warwick,Corvette Standard 5, ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/warwick/Corvette-Standard-5c/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/warwick/Corvette-Standard-5c/petites-annonces/
645 ,En stock,Cort,C5,Artisan,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/c5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/c5/petites-annonces/
1 365 ,En stock,Ibanez,EHB1265MS,EHB,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1265ms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1265ms/petites-annonces/
1 028 ,En stock,Fender,Player Plus Jazz Bass V,Player Plus,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/fender/player-plus-jazz-bass-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/fender/player-plus-jazz-bass-v/petites-annonces/
959 ,En stock,Cort,Artisan A5 Beyond,Artisan,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/artisan-a5-beyond/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/artisan-a5-beyond/petites-annonces/
825 ,En stock,Cort,A5 Plus SC, ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/a5-plus-sc/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/a5-plus-sc/petites-annonces/
1 199 ,En stock,Ibanez,EHB1005MS,EHB,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1005ms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1005ms/petites-annonces/
3 290 ,En stock,Music Man,StingRay Special 5,StingRay,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/music-man/stingray-special-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/music-man/stingray-special-5/petites-annonces/
468 ,En stock,Ibanez,SR306EB,SR Standard,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr306eb/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr306eb/petites-annonces/
719 ,En stock,Yamaha,BB435,400,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/bb435/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/bb435/petites-annonces/
549 ,En stock,Cort,B5 Plus AS,Artisan,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/b5-plus-as/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/b5-plus-as/petites-annonces/
1 259.50 ,En stock,Yamaha,TRB1006J, ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/trb1006j/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/yamaha/trb1006j/petites-annonces/
328 ,En stock,Harley Benton,Enhanced MP-5, ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/harley-benton/enhanced-mp-5mn-natural/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/harley-benton/enhanced-mp-5mn-natural/petites-annonces/
1 699 ,En stock,Ibanez,SR5FMDX2 Premium,SR Premium,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr5fmdx2-premium/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr5fmdx2-premium/petites-annonces/
439 ,En stock,Jackson,JS Spectra Bass JS3QV,JS,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/jackson/js-spectra-bass-js3qv/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/jackson/js-spectra-bass-js3qv/petites-annonces/
452.80 ,En stock,Jackson,JS Concert Bass JS3VQ,JS,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/jackson/js-concert-bass-js3vq/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/jackson/js-concert-bass-js3vq/petites-annonces/
988 ,En stock,Jackson,Pro Spectra Bass SBA V,Pro,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/jackson/pro-spectra-bass-sba-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/jackson/pro-spectra-bass-sba-v/petites-annonces/
988 ,En stock,Jackson,Pro Spectra Bass SBP V,Pro,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/jackson/pro-spectra-bass-sbp-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/jackson/pro-spectra-bass-sbp-v/petites-annonces/
491 ,En stock,Ibanez,SR305EDX,SR Standard,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305edx/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr305edx/petites-annonces/
2 999 ,En stock,Ibanez,SRMS5 Prestige,SR Prestige,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/srms5-prestige/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/srms5-prestige/petites-annonces/
899 ,En stock,LTD,D-6 (2020),Standard D,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ltd/d-6-2020/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ltd/d-6-2020/petites-annonces/
599 ,En stock,Sterling by Music Man,StingRay Ray5HH,StingRay,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/sterling-by-music-man/stingray-ray5hh/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/sterling-by-music-man/stingray-ray5hh/petites-annonces/
1 814.10 ,En stock,Sterling by Music Man,StingRay Ray35HHSM,StingRay,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/sterling-by-music-man/stingray-ray35hhsm/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/sterling-by-music-man/stingray-ray35hhsm/petites-annonces/
1 555 ,En stock,Sterling by Music Man,StingRay Ray35HH,StingRay,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/sterling-by-music-man/stingray-ray35hh/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/sterling-by-music-man/stingray-ray35hh/petites-annonces/
777 ,En stock,Schecter,Stiletto Stealth-5,Stiletto Stealth,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/schecter/stiletto-stealth-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/schecter/stiletto-stealth-5/petites-annonces/
1 849 ,En stock,Schecter,SLS Evil Twin-5,SLS Elite,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/schecter/sls-evil-twin-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/schecter/sls-evil-twin-5/petites-annonces/
1 799 ,En stock,Schecter,SLS Elite-5,SLS Elite,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/schecter/sls-elite-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/schecter/sls-elite-5/petites-annonces/
1 099 ,En stock,Schecter,Model-T Session-5, ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/schecter/model-t-session-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/schecter/model-t-session-5/petites-annonces/
899 ,En stock,Schecter,CV-5 (2017), ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/schecter/cv-5-2017/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/schecter/cv-5-2017/petites-annonces/
629 ,En stock,Ibanez,SR405EPBDX,SR Standard,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr405epbdx/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr405epbdx/petites-annonces/
1 699 ,En stock,Ibanez,SR5CMDX Premium,SR Premium,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr5cmdx-premium/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr5cmdx-premium/petites-annonces/
382 ,En stock,Jackson,JS Spectra Bass JS3V (2022),JS,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/jackson/spectra-bass-js3v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/jackson/spectra-bass-js3v/petites-annonces/
1 465 ,En stock,Ibanez,SR5FMDX Premium,SR Premium,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr5fmdx-premium/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr5fmdx-premium/petites-annonces/
1 405 ,En stock,Ibanez,BTB806MS,BTB Workshop,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb806ms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb806ms/petites-annonces/
1 375 ,En stock,Spector,NS Pulse II 6 String, ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/spector/ns-pulse-ii-6-string/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/spector/ns-pulse-ii-6-string/petites-annonces/
1 379 ,En stock,Spector,NS Pulse II 5 String, ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/spector/ns-pulse-ii-5-string/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/spector/ns-pulse-ii-5-string/petites-annonces/
1 285 ,En stock,Cort,GB-Modern 5,GB,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/cort/gb-modern-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/cort/gb-modern-5/petites-annonces/
2 119 ,En stock,Fender,American Professional II Precision Bass V,American Professional II,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/fender/american-professional-ii-precision-bass-v/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/fender/american-professional-ii-precision-bass-v/petites-annonces/
1 169 ,En stock,Ibanez,BTB605MS,BTB Workshop,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb605ms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb605ms/petites-annonces/
1 319 ,En stock,Ibanez,EHB1006MS,EHB,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1006ms/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/ehb1006ms/petites-annonces/
519 ,En stock,Sire,Marcus Miller P5 5ST (Alder), ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/sire/marcus-miller-p5-5st-alder/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/sire/marcus-miller-p5-5st-alder/petites-annonces/
1 699 ,En stock,Ibanez,SR5CMLTD Premium,SR Premium,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr5cmltd-premium/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr5cmltd-premium/petites-annonces/
2 222 ,En stock,Spector,EuroBolt 5, ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/spector/eurobolt-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/spector/eurobolt-5/petites-annonces/
371 ,En stock,Ibanez,RGB305, ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/rgb305/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/rgb305/petites-annonces/
1 899 ,En stock,Spector,NS Ethos 5, ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/spector/ns-ethos-5/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/spector/ns-ethos-5/petites-annonces/
2 859 ,En stock,Spector,Euro 5 LX-TW BSM, ,Basses électriques 5 cordes,https://fr.audiofanzine.com/basse-electrique-divers/spector/euro-5-lx-tw-bsm/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/spector/euro-5-lx-tw-bsm/petites-annonces/
1 575 ,En stock,Ibanez,BTB1836 Premium,BTB Premium,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb1836-premium/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/btb1836-premium/petites-annonces/
899 ,En stock,Ibanez,SR606E,SR Standard,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr606e/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr606e/petites-annonces/
1 375 ,En stock,Ibanez,SR1305SB Premium,SR Premium,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr1305sb-premium/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr1305sb-premium/petites-annonces/
2 099 ,En stock,Ibanez,SR4605 Prestige,SR Prestige,Basses électriques  cordes,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr4605-prestige/,Pas d'occasion disponible,https://fr.audiofanzine.com/basse-electrique-divers/ibanez/sr4605-prestige/petites-annonces/
